,playerID,ERA,WHIP,W-L,G,debut,finalGame,weight,servingDays,debutAge,inducted
1678,hudekjo01,7.704444444444444,1.4850993377483444,0.4,194,1994-04-23,1999-09-30,200.0,1986.0,28.326027397260273,N
1679,hudsoch01,6.419999999999999,1.4688796680497924,0.625,40,1972-05-21,1975-07-10,185.0,1145.0,23.4,N
1680,hudsoch02,4.365714285714286,1.3476678795898116,0.45454545454545453,213,1983-05-31,1989-08-11,185.0,2264.0,24.427397260273974,N
1681,hudsojo02,43.76,1.763779527559055,0.46153846153846156,102,1995-06-10,1998-08-07,173.0,1154.0,25.454794520547946,N
1682,hudsolu01,7.284000000000001,1.473251028806584,0.4857142857142857,60,2002-07-01,2007-05-10,195.0,1774.0,25.512328767123286,N
1683,huffmph01,10.6,1.6885553470919326,0.25,33,1979-04-10,1985-10-03,180.0,2368.0,21.284931506849315,N
1684,hughedi01,2.6333333333333333,0.9663774403470715,0.689655172413793,71,1966-09-11,1968-09-28,195.0,748.0,28.71232876712329,N
1685,hughedu01,6.306666666666666,1.5783132530120483,0.2857142857142857,80,2009-09-06,2011-05-27,190.0,628.0,27.698630136986303,N
1686,hugheji02,4.795714285714285,1.4527027027027026,0.5357142857142857,172,1952-09-13,1957-08-27,200.0,1809.0,29.720547945205478,N
1687,hugheji03,4.0275,1.4682779456193353,0.45454545454545453,78,1974-09-14,1977-04-19,190.0,948.0,23.71780821917808,N
1688,hugheto05,15.75,2.75,0.0,2,1959-09-13,1959-09-21,180.0,8.0,25.715068493150685,N
1689,hughetr01,8.463333333333333,1.987012987012987,0.5,24,2004-09-26,2006-08-20,235.0,693.0,26.753424657534246,N
1690,huismma01,5.198181818181819,1.3093363329583803,0.5416666666666667,152,1983-08-16,1991-05-04,195.0,2818.0,25.638356164383563,N
1691,huismri01,6.025,1.4871794871794872,0.6666666666666666,29,1995-09-04,1996-09-28,200.0,390.0,26.69041095890411,N
1692,humeto01,4.103333333333333,1.3720073664825045,0.44531249999999994,544,1977-05-25,1987-10-02,185.0,3782.0,24.410958904109588,N
1693,humphbo01,3.617,1.2385159010600706,0.5625,319,1962-09-08,1970-09-25,165.0,2939.0,27.704109589041096,N
1694,hunteca01,3.476,1.1341321994588327,0.5743589743589743,515,1965-05-13,1979-09-17,190.0,5240.0,19.375342465753423,Y
1695,hunteji01,7.26,2.0,0.0,8,1991-05-17,1991-08-06,205.0,81.0,27.39178082191781,N
1696,hunteri01,6.49,1.6875,0.3,15,1996-04-06,1996-09-29,185.0,176.0,22.276712328767122,N
1697,huntewi01,16.826666666666668,1.5263157894736843,0.3076923076923077,69,1962-04-16,1964-10-04,180.0,902.0,28.306849315068494,N
1698,huntke02,3.96,1.4376528117359413,0.47368421052631576,29,1961-04-16,1961-09-30,200.0,167.0,23.304109589041097,N
1699,hurdto01,3.7899999999999996,1.4704830053667264,0.5652173913043478,99,1954-07-30,1956-09-29,155.0,792.0,30.5972602739726,N
1700,hurleer01,5.47,1.4189189189189189,0.3333333333333333,5,2008-06-12,2008-07-27,195.0,45.0,23.46027397260274,N
1701,hurstbr01,5.03,1.3250137892995035,0.562015503875969,380,1980-04-12,1994-06-18,200.0,5180.0,22.293150684931508,N
1702,hurstjo01,9.055,1.708860759493671,0.3333333333333333,10,1992-06-09,1994-04-21,175.0,681.0,26.454794520547946,N
1703,hurtaed01,7.396666666666667,1.745958429561201,0.4705882352941177,43,1995-05-22,1997-07-30,215.0,800.0,25.4027397260274,N
1704,hutsohe01,3.45,1.3604651162790697,0.0,20,1974-04-10,1974-09-29,205.0,172.0,25.28767123287671,N
1705,huttoma01,5.378571428571429,1.5764499121265376,0.5625000000000001,84,1993-07-23,1998-05-21,240.0,1763.0,23.572602739726026,N
1706,hydedi01,4.176666666666667,1.3743016759776536,0.5483870967741935,169,1955-04-23,1961-08-04,170.0,2295.0,27.326027397260273,N
1707,igarary01,14.945,1.8082191780821917,0.7142857142857143,83,2010-04-08,2012-08-12,200.0,857.0,31.28767123287671,N
1708,igawake01,9.875,1.758139534883721,0.3333333333333333,16,2007-04-07,2008-06-27,210.0,447.0,28.28219178082192,N
1709,ignasmi01,4.9399999999999995,1.5036496350364965,0.7142857142857143,79,1991-08-22,1995-08-21,175.0,1460.0,25.654794520547945,N
1710,innisje01,2.892857142857143,1.2722222222222224,0.33333333333333337,288,1987-05-16,1993-10-02,170.0,2331.0,25.386301369863013,N
1711,irabuhi01,5.638333333333333,1.4046692607003892,0.4927536231884058,126,1997-07-10,2002-07-12,240.0,1828.0,28.53972602739726,N
1712,irvinda01,5.593333333333334,1.642105263157895,0.4444444444444444,41,1990-04-28,1992-09-28,195.0,884.0,26.339726027397262,N
1713,ishiika01,4.495,1.5283687943262412,0.5342465753424658,105,2002-04-06,2005-09-28,215.0,1271.0,29.279452054794522,N
1714,isrinja01,3.655882352941176,1.327820046311611,0.4811320754716981,724,1995-07-17,2012-09-19,235.0,6274.0,23.556164383561644,N
1715,izquiha02,4.55,1.8202247191011236,1.0,20,2002-04-21,2002-06-24,205.0,64.0,25.317808219178083,N
1716,jacksal01,4.8127272727272725,1.3358925143953932,0.4036144578313253,373,1959-05-31,1969-09-26,169.0,3771.0,24.427397260273974,N
1717,jacksda01,4.658,1.4866180048661801,0.425531914893617,104,1978-06-16,1982-06-01,150.0,1446.0,22.471232876712328,N
1718,jacksda02,4.647647058823529,1.411707944676745,0.4609053497942387,356,1983-09-11,1997-08-07,205.0,5079.0,21.706849315068492,N
1719,jacksgr01,4.296190476190477,1.3123159960745827,0.5341614906832298,718,1965-09-03,1982-09-08,180.0,6214.0,23.687671232876713,N
1720,jacksla01,4.116666666666667,1.2351859419697588,0.5145888594164456,599,1955-04-17,1968-09-27,175.0,4912.0,24.306849315068494,N
1721,jacksmi01,2.936,1.9328859060402683,0.4,23,1970-05-10,1973-07-27,190.0,1174.0,24.36986301369863,N
1722,jacksmi02,3.3688235294117654,1.2176718092566619,0.4806201550387597,1005,1986-08-11,2004-08-29,185.0,6593.0,22.624657534246577,N
